NUM_LAYERS: 2, DROPOUT: 0.2, WEIGHT_DECAY: 0.001, HIDDEN_SIZE: 128, LR: 0.0001
tensor(1.3375, grad_fn=<NllLossBackward0>)
tensor(1.1306, grad_fn=<NllLossBackward0>)
tensor(0.9935, grad_fn=<NllLossBackward0>)
tensor(1.1724, grad_fn=<NllLossBackward0>)
tensor(1.4504, grad_fn=<NllLossBackward0>)
tensor(0.8356, grad_fn=<NllLossBackward0>)
tensor(0.9290, grad_fn=<NllLossBackward0>)
tensor(1.1385, grad_fn=<NllLossBackward0>)
tensor(1.5753, grad_fn=<NllLossBackward0>)
tensor(0.9112, grad_fn=<NllLossBackward0>)
tensor(1.0791, grad_fn=<NllLossBackward0>)
tensor(1.0063, grad_fn=<NllLossBackward0>)
tensor(1.0537, grad_fn=<NllLossBackward0>)
tensor(1.4767, grad_fn=<NllLossBackward0>)
tensor(1.0207, grad_fn=<NllLossBackward0>)
tensor(1.1734, grad_fn=<NllLossBackward0>)
tensor(1.1229, grad_fn=<NllLossBackward0>)
tensor(0.9253, grad_fn=<NllLossBackward0>)
tensor(0.9465, grad_fn=<NllLossBackward0>)
tensor(1.0930, grad_fn=<NllLossBackward0>)
tensor(0.7908, grad_fn=<NllLossBackward0>)
tensor(0.9953, grad_fn=<NllLossBackward0>)
tensor(0.9279, grad_fn=<NllLossBackward0>)
tensor(1.0092, grad_fn=<NllLossBackward0>)
tensor(0.7952, grad_fn=<NllLossBackward0>)
tensor(0.8457, grad_fn=<NllLossBackward0>)
tensor(0.8479, grad_fn=<NllLossBackward0>)
tensor(1.1521, grad_fn=<NllLossBackward0>)
tensor(0.9166, grad_fn=<NllLossBackward0>)
tensor(0.9249, grad_fn=<NllLossBackward0>)
tensor(0.8204, grad_fn=<NllLossBackward0>)
tensor(1.1781, grad_fn=<NllLossBackward0>)
tensor(1.5012, grad_fn=<NllLossBackward0>)
tensor(0.9320, grad_fn=<NllLossBackward0>)
tensor(1.2050, grad_fn=<NllLossBackward0>)
tensor(1.6552, grad_fn=<NllLossBackward0>)
tensor(0.8981, grad_fn=<NllLossBackward0>)
tensor(1.0385, grad_fn=<NllLossBackward0>)
tensor(0.8394, grad_fn=<NllLossBackward0>)
tensor(1.4692, grad_fn=<NllLossBackward0>)
tensor(0.6604, grad_fn=<NllLossBackward0>)
tensor(0.9257, grad_fn=<NllLossBackward0>)
tensor(0.8809, grad_fn=<NllLossBackward0>)
tensor(0.8405, grad_fn=<NllLossBackward0>)
tensor(1.4635, grad_fn=<NllLossBackward0>)
tensor(0.8454, grad_fn=<NllLossBackward0>)
tensor(2.4229, grad_fn=<NllLossBackward0>)
tensor(1.3348, grad_fn=<NllLossBackward0>)
tensor(0.7596, grad_fn=<NllLossBackward0>)
tensor(1.3373, grad_fn=<NllLossBackward0>)
tensor(1.0088, grad_fn=<NllLossBackward0>)
tensor(1.0535, grad_fn=<NllLossBackward0>)
tensor(1.7357, grad_fn=<NllLossBackward0>)
tensor(0.9262, grad_fn=<NllLossBackward0>)
tensor(0.8067, grad_fn=<NllLossBackward0>)
tensor(1.7111, grad_fn=<NllLossBackward0>)
tensor(1.1785, grad_fn=<NllLossBackward0>)
tensor(0.8927, grad_fn=<NllLossBackward0>)
tensor(0.8371, grad_fn=<NllLossBackward0>)
tensor(0.8551, grad_fn=<NllLossBackward0>)
tensor(0.9807, grad_fn=<NllLossBackward0>)
tensor(1.4540, grad_fn=<NllLossBackward0>)
tensor(1.6738, grad_fn=<NllLossBackward0>)
tensor(0.9428, grad_fn=<NllLossBackward0>)
tensor(0.9668, grad_fn=<NllLossBackward0>)
tensor(1.6297, grad_fn=<NllLossBackward0>)
tensor(0.9534, grad_fn=<NllLossBackward0>)
tensor(0.9723, grad_fn=<NllLossBackward0>)
tensor(0.9930, grad_fn=<NllLossBackward0>)
tensor(0.9067, grad_fn=<NllLossBackward0>)
tensor(0.9117, grad_fn=<NllLossBackward0>)
tensor(0.9883, grad_fn=<NllLossBackward0>)
tensor(0.9886, grad_fn=<NllLossBackward0>)
tensor(0.9615, grad_fn=<NllLossBackward0>)
tensor(1.6776, grad_fn=<NllLossBackward0>)
tensor(1.0252, grad_fn=<NllLossBackward0>)
tensor(0.9430, grad_fn=<NllLossBackward0>)
tensor(1.1487, grad_fn=<NllLossBackward0>)
tensor(1.6142, grad_fn=<NllLossBackward0>)
tensor(1.3245, grad_fn=<NllLossBackward0>)
tensor(0.9494, grad_fn=<NllLossBackward0>)
tensor(1.1648, grad_fn=<NllLossBackward0>)
tensor(1.2967, grad_fn=<NllLossBackward0>)
tensor(0.9037, grad_fn=<NllLossBackward0>)
tensor(1.5735, grad_fn=<NllLossBackward0>)
tensor(1.0162, grad_fn=<NllLossBackward0>)
tensor(1.2477, grad_fn=<NllLossBackward0>)
tensor(1.0018, grad_fn=<NllLossBackward0>)
tensor(1.1214, grad_fn=<NllLossBackward0>)
tensor(1.0072, grad_fn=<NllLossBackward0>)
tensor(1.1740, grad_fn=<NllLossBackward0>)
tensor(0.9300, grad_fn=<NllLossBackward0>)
tensor(1.2805, grad_fn=<NllLossBackward0>)
tensor(0.9574, grad_fn=<NllLossBackward0>)
tensor(1.0145, grad_fn=<NllLossBackward0>)
tensor(1.1822, grad_fn=<NllLossBackward0>)
tensor(0.9441, grad_fn=<NllLossBackward0>)
tensor(1.0804, grad_fn=<NllLossBackward0>)
tensor(1.1050, grad_fn=<NllLossBackward0>)
tensor(0.9846, grad_fn=<NllLossBackward0>)
tensor(1.5003, grad_fn=<NllLossBackward0>)
tensor(0.9962, grad_fn=<NllLossBackward0>)
tensor(1.1124, grad_fn=<NllLossBackward0>)
tensor(1.9931, grad_fn=<NllLossBackward0>)
tensor(1.2348, grad_fn=<NllLossBackward0>)
tensor(2.1232, grad_fn=<NllLossBackward0>)
tensor(1.0399, grad_fn=<NllLossBackward0>)
tensor(1.0940, grad_fn=<NllLossBackward0>)
tensor(1.0429, grad_fn=<NllLossBackward0>)
tensor(1.1954, grad_fn=<NllLossBackward0>)
tensor(1.0558, grad_fn=<NllLossBackward0>)
tensor(2.1191, grad_fn=<NllLossBackward0>)
tensor(1.6693, grad_fn=<NllLossBackward0>)
tensor(1.0568, grad_fn=<NllLossBackward0>)
tensor(1.0554, grad_fn=<NllLossBackward0>)
tensor(1.4050, grad_fn=<NllLossBackward0>)
tensor(1.0696, grad_fn=<NllLossBackward0>)
tensor(1.0814, grad_fn=<NllLossBackward0>)
tensor(1.4503, grad_fn=<NllLossBackward0>)
tensor(1.2392, grad_fn=<NllLossBackward0>)
tensor(1.0383, grad_fn=<NllLossBackward0>)
tensor(0.9913, grad_fn=<NllLossBackward0>)
tensor(1.0105, grad_fn=<NllLossBackward0>)
tensor(0.9635, grad_fn=<NllLossBackward0>)
tensor(1.0305, grad_fn=<NllLossBackward0>)
tensor(0.9969, grad_fn=<NllLossBackward0>)
tensor(1.0045, grad_fn=<NllLossBackward0>)
tensor(1.5125, grad_fn=<NllLossBackward0>)
tensor(0.9670, grad_fn=<NllLossBackward0>)
tensor(1.0319, grad_fn=<NllLossBackward0>)
tensor(1.1776, grad_fn=<NllLossBackward0>)
tensor(0.9945, grad_fn=<NllLossBackward0>)
tensor(0.9851, grad_fn=<NllLossBackward0>)
tensor(1.0298, grad_fn=<NllLossBackward0>)
tensor(1.0638, grad_fn=<NllLossBackward0>)
tensor(1.1599, grad_fn=<NllLossBackward0>)
tensor(0.9439, grad_fn=<NllLossBackward0>)
tensor(0.9531, grad_fn=<NllLossBackward0>)
tensor(1.5854, grad_fn=<NllLossBackward0>)
tensor(1.3534, grad_fn=<NllLossBackward0>)
tensor(0.9510, grad_fn=<NllLossBackward0>)
tensor(0.9151, grad_fn=<NllLossBackward0>)
tensor(1.0240, grad_fn=<NllLossBackward0>)
tensor(1.2845, grad_fn=<NllLossBackward0>)
tensor(0.9505, grad_fn=<NllLossBackward0>)
tensor(1.2117, grad_fn=<NllLossBackward0>)
tensor(0.9277, grad_fn=<NllLossBackward0>)
tensor(0.8773, grad_fn=<NllLossBackward0>)
tensor(1.5621, grad_fn=<NllLossBackward0>)
tensor(1.0149, grad_fn=<NllLossBackward0>)
tensor(1.2730, grad_fn=<NllLossBackward0>)
tensor(1.5507, grad_fn=<NllLossBackward0>)
tensor(1.5603, grad_fn=<NllLossBackward0>)
tensor(0.9396, grad_fn=<NllLossBackward0>)
tensor(0.9934, grad_fn=<NllLossBackward0>)
tensor(0.9249, grad_fn=<NllLossBackward0>)
